,Erecall,Eprecision,Efmeasure,ePMI,eIFA,ePopt,cErecall,cEprecision,cEfmeasure,cPMI,cIFA,cPopt,recall,precision,accuracy,F1,Pf,G1,AUC,MCC
0,0.5050844743374169,0.7237264800367141,0.5949540202782362,0.28407535362753406,9.0,0.5345408341440804,0.5050844743374169,0.7237264800367141,0.5949540202782362,0.28407535362753406,9.0,0.5345408341440804,0.5059652494194892,0.7188033215788875,0.7183456637225826,0.593890977443609,0.13586896779157964,0.6382329170661806,0.6850481408139548,0.4021432560483825
1,0.48400096719593777,0.7412665103073695,0.5856251219036473,0.26403102796427874,7.0,0.5219776463172707,0.48400096719593777,0.7412665103073695,0.5856251219036473,0.26403102796427874,7.0,0.5219776463172707,0.4864189570403804,0.7340956088067145,0.7210833360492781,0.5851270118285825,0.11961041803458088,0.6266249734733602,0.6834042695028998,0.4064684743350457
2,0.6663693854386249,0.6816221595621165,0.6739094785175468,0.39299915259761425,33.0,0.7319354465010884,0.6663693854386249,0.6816221595621165,0.6739094785175468,0.39299915259761425,33.0,0.7319354465010884,0.6721258310361602,0.6774536242543107,0.7395626242544732,0.6747792112653127,0.21510709030464875,0.7241455232600748,0.7285093703657557,0.4576185277207411
3,0.5201858378724767,0.7218763895064473,0.6046554934823092,0.2932012254742194,12.0,0.5496322262937962,0.5201858378724767,0.7218763895064473,0.6046554934823092,0.2932012254742194,12.0,0.5496322262937962,0.5221884011534764,0.7170039595248571,0.7217351627937294,0.6042825361512791,0.1413813945821199,0.6494183106400979,0.6904035032856783,0.40967501732788913
4,0.5009280929707045,0.724947442186405,0.5924688588746241,0.2790561241118571,9.0,0.533513446665434,0.5009280929707045,0.724947442186405,0.5924688588746241,0.2790561241118571,9.0,0.533513446665434,0.5024614639657816,0.7208521477364825,0.7204966919792719,0.5921628305116987,0.13180625410015306,0.6365333855383497,0.6853276049328143,0.4043966249636555
5,0.5585874799357945,0.7204223165303799,0.6292663080330907,0.3148751711100971,5.0,0.5790052574841672,0.5585874799357945,0.7204223165303799,0.6292663080330907,0.3148751711100971,5.0,0.5790052574841672,0.56115569823435,0.7159533073929961,0.731382198611609,0.629173040583101,0.15222520989957747,0.6753117463538687,0.7044652441673863,0.431132131964161
6,0.5351862325280763,0.7175820604484888,0.6131062569418735,0.30086043934554463,3.0,0.5610019033118171,0.5351862325280763,0.7175820604484888,0.6131062569418735,0.30086043934554463,3.0,0.5610019033118171,0.5388220085642724,0.7118155619596542,0.7259720366326631,0.613354180079095,0.14749262536873156,0.6603033637651805,0.6956646915977706,0.4168384599341992
7,0.47035159707136537,0.7335006273525722,0.573165351242708,0.25976142363600807,9.0,0.5039285926122602,0.47035159707136537,0.7335006273525722,0.573165351242708,0.25976142363600807,9.0,0.5039285926122602,0.47260439295196716,0.7288745501923316,0.7151517126747711,0.5734088246778603,0.11969979182644899,0.6150230328926986,0.6764523005627591,0.39366713887450416
8,0.5403576607056549,0.7162075592568866,0.6159779614325068,0.30526041327162506,19.0,0.5615853282762131,0.5403576607056549,0.7162075592568866,0.6159779614325068,0.30526041327162506,19.0,0.5615853282762131,0.5419687449653617,0.7109044801352493,0.7255157579115471,0.6150470792577017,0.14976189172915869,0.6619741590700116,0.6961034266181014,0.41680086755949214
9,0.5690168019937294,0.7078,0.630865903115112,0.3259239945244769,7.0,0.5874348565243567,0.5690168019937294,0.7078,0.630865903115112,0.3259239945244769,7.0,0.5874348565243567,0.5711070021705925,0.7024621773954316,0.7280578822149073,0.6300106420716567,0.16493093619820215,0.6783130522186145,0.7030880329861953,0.4242383696684263
