,Erecall,Eprecision,Efmeasure,ePMI,eIFA,ePopt,cErecall,cEprecision,cEfmeasure,cPMI,cIFA,cPopt,recall,precision,accuracy,F1,Pf,G1,AUC,MCC
0,0.8247462919594067,0.3891702735058477,0.5288118626040168,0.9033358289659762,137.0,0.948776269741148,0.7244340359094458,0.46054590570719606,0.5631067961165049,0.6704933033857416,116.0,0.8075816191355268,0.8343091334894613,0.48840397577973266,0.55689569123274,0.6161274050587303,0.649173673528559,0.4939479381594655,0.5925677299804513,0.20576421156408464
1,0.8822624086186995,0.41078466499462557,0.560567167827894,0.9287080941685384,129.0,0.9580086086044577,0.17160446325509812,0.7029156816390859,0.27586206896551724,0.10556526079361118,21.0,0.36448443653131907,0.1748749519045787,0.703016241299304,0.6112959574114124,0.2800801109228162,0.05627198124267292,0.295072329002552,0.5593014853309528,0.18965064696111059
2,0.7981048153161864,0.39118483412322275,0.5250302143629539,0.877630812744364,119.0,0.9411543764869836,0.21833301102301295,0.6817632850241546,0.33074556906401054,0.13775892188669828,4.0,0.4761273837667501,0.22954941017211372,0.6861271676300578,0.6234403593412078,0.3440081147659759,0.07925850240840754,0.36748211477049353,0.575145453881853,0.21199421991769307
3,0.7602237654320988,0.3831421349406961,0.5095022624434389,0.8556692454870644,121.0,0.9311197407233377,0.3603395061728395,0.5797641216635631,0.4444444444444445,0.26803094584477166,5.0,0.528264544328474,0.41165123456790126,0.6031656302996043,0.6295125603061055,0.48933730795689073,0.20532319391634982,0.5423561042817587,0.6031640203257758,0.22422088090655606
4,0.8231186966640807,0.39468055426392634,0.5335344773398705,0.8945179269611513,144.0,0.947013361685916,0.26144297905352987,0.6686507936507936,0.3759063022866704,0.1677065136011979,2.0,0.4630755017164076,0.2756012412723041,0.6747388414055081,0.6323407087007153,0.3913522445607271,0.09976696766676377,0.4220073299693637,0.5879171368027702,0.22893618584810294
5,0.8845270011489851,0.41288996156252794,0.5629837284417087,0.9306214125280758,134.0,0.9590967958086952,0.4029107621600919,0.577545978589075,0.47467569091934575,0.3030529905997837,12.0,0.5051027456819646,0.41612409038682496,0.5821055451379588,0.6166195308600898,0.48531546621998883,0.22941176470588234,0.540417962357569,0.5933561628404713,0.20001649556495457
6,0.8824557994948514,0.4059343998570024,0.5560724779627816,0.9307877880376009,140.0,0.9591334936899665,0.27608315523605986,0.6545370796867803,0.3883574747198688,0.18060061558938525,7.0,0.40798678306237024,0.283077520885953,0.6574909747292419,0.6299284644817834,0.3957625967676219,0.1104,0.42948851341482264,0.5863387604429765,0.2203527210431663
7,0.7939823687236489,0.39232954545454546,0.5251616174420078,0.878462690291989,136.0,0.9416869660574425,0.47738597163664237,0.5554069119286511,0.5134494486241368,0.37309708010980785,6.0,0.6059864086488963,0.5364124185511691,0.576519052523172,0.6277657627682582,0.555743075548496,0.30217519106408,0.6065639330105849,0.6171186137435446,0.23660656436856303
8,0.8288564850345357,0.39933444259567386,0.5389893948845913,0.8999251310207137,126.0,0.9493511359964579,0.2874136607828089,0.6587510993843447,0.4002137323002939,0.18916895432992265,4.0,0.4725301647427643,0.30103607060629317,0.6631445477599324,0.6306770919980037,0.4140934283452098,0.1170337738619677,0.44899352632262507,0.5920011483721628,0.22934696889151265
9,0.8246980911569926,0.39167437557816837,0.5311088810837933,0.8992596289826138,139.0,0.9476088099300363,0.46922477600311646,0.5720731417715507,0.515569823434992,0.3503036353048831,5.0,0.5922606181463758,0.5066225165562914,0.5850202429149798,0.6358343037764099,0.5430062630480168,0.26785714285714285,0.598854415274463,0.6193826868495743,0.244647698119546
10,0.808604206500956,0.3968283757154922,0.5323849688424498,0.8865319025039514,135.0,0.9440065515160155,0.448565965583174,0.588855421686747,0.5092250922509225,0.33142001497379586,6.0,0.5753199269101091,0.4902485659655832,0.603578154425612,0.6381633671602063,0.5410424140113949,0.2479387514723204,0.5935668289948627,0.6211549072466314,0.2513079144046135
11,0.8638733346205831,0.4041553748870822,0.5506800418487292,0.9208884452208634,139.0,0.9559713891862505,0.7109480594709403,0.4892373106563912,0.5796143250688706,0.6260710423425672,44.0,0.8480856901633766,0.7773701486773509,0.5052076797590663,0.5761104641490601,0.6124125342257378,0.5762092649422768,0.5485397854373807,0.600580441867537,0.2107169857076027
12,0.7882653061224489,0.3796068796068796,0.5124378109452735,0.880292820896764,141.0,0.939620924161515,0.6346153846153846,0.4894808536400787,0.5526788003076134,0.5496214957158306,22.0,0.7314910839821096,0.7372448979591837,0.5177783902976847,0.597571119614041,0.6083225388601037,0.5051978053710655,0.5921695618353136,0.6160235462940591,0.23442635156619762
13,0.8627639155470249,0.40656657018813314,0.5526865855157999,0.9197238166541885,144.0,0.955690874031443,0.4470249520153551,0.5702742409402547,0.5011835592855607,0.33973879045004574,18.0,0.5377264070253457,0.4746641074856046,0.5803801924430885,0.623606721011479,0.5222257417379369,0.26247798003523193,0.5775931986515646,0.6060930637251863,0.21981562466045496
