,Erecall,Eprecision,Efmeasure,ePMI,eIFA,ePopt,cErecall,cEprecision,cEfmeasure,cPMI,cIFA,cPopt,recall,precision,accuracy,F1,Pf,G1,AUC,MCC
0,0.5855122160308616,0.6772434308378781,0.6280459770114942,0.3667939625386434,1.0,0.7634068468577334,0.5855122160308616,0.6772434308378781,0.6280459770114942,0.3667939625386434,1.0,0.7634068468577334,0.7895413630518645,0.7125725338491296,0.7756363636363637,0.7490849938999593,0.23460688348594885,0.7772797277628328,0.7774672397829578,0.5495074152854887
1,0.6509635974304069,0.6131504638967326,0.6314914831740756,0.4508092380432806,1.0,0.820067533907054,0.6509635974304069,0.6131504638967326,0.6314914831740756,0.4508092380432806,1.0,0.820067533907054,0.8638115631691649,0.648970398970399,0.7438181818181818,0.7411354032702553,0.3447077409162717,0.7452407430748147,0.7595519111264464,0.5175632526938382
2,0.6181818181818182,0.6623376623376623,0.6394984326018808,0.39207128568830696,16.0,0.782032677956853,0.6181818181818182,0.6623376623376623,0.6394984326018808,0.39207128568830696,16.0,0.782032677956853,0.8095238095238095,0.6905465288035451,0.7676363636363637,0.7453168593064966,0.2626959247648903,0.771728011426145,0.7734139423794596,0.539846073854608
3,0.648995297135528,0.6086607858861267,0.6281812538795779,0.4535370067284961,35.0,0.8514760042090238,0.648995297135528,0.6086607858861267,0.6281812538795779,0.4535370067284961,35.0,0.8514760042090238,0.8858486532706284,0.6525984251968504,0.7509090909090909,0.7515415306492564,0.34894020879468524,0.7505202295046824,0.7684542222379716,0.5373339114194855
4,0.63,0.6119087837837838,0.6208226221079692,0.4306237497726859,4.0,0.8213917409367407,0.63,0.6119087837837838,0.6208226221079692,0.4306237497726859,4.0,0.8213917409367407,0.8678260869565217,0.6535690897184021,0.7523636363636363,0.7456107583115428,0.330625,0.7557906273754176,0.768600543478261,0.5332281238724323
5,0.643231441048035,0.6360103626943006,0.6396005210594876,0.42116748499727225,2.0,0.8052489035340775,0.643231441048035,0.6360103626943006,0.6396005210594876,0.42116748499727225,2.0,0.8052489035340775,0.8419213973799127,0.6650569161779925,0.7576363636363637,0.7431104259009443,0.30249221183800623,0.7629408838133683,0.7697145927709532,0.53261134579626
6,0.6471099521946979,0.6160529582126604,0.6311996608732514,0.43953446081105657,3.0,0.8367537572725707,0.6471099521946979,0.6160529582126604,0.6311996608732514,0.43953446081105657,3.0,0.8367537572725707,0.8778791829639288,0.6541450777202072,0.7547272727272727,0.7496752644275376,0.33385432947796184,0.7574948235483961,0.7720124267429834,0.5408251413679243
7,0.6109936575052854,0.6565197637437529,0.6329391151992991,0.40025459174395345,6.0,0.8063332440667612,0.6109936575052854,0.6565197637437529,0.6329391151992991,0.40025459174395345,6.0,0.8063332440667612,0.8494714587737844,0.6908528198074277,0.7718181818181818,0.7619950692205576,0.286762360446571,0.7754162547237677,0.7813545491636067,0.5580891542706009
8,0.6435601198117245,0.6314021830394626,0.6374231828777283,0.4331696672122204,11.0,0.8182138680164545,0.6435601198117245,0.6314021830394626,0.6374231828777283,0.4331696672122204,11.0,0.8182138680164545,0.8472400513478819,0.6659939455095862,0.7545454545454545,0.7457627118644068,0.31394245969016754,0.7581769238302704,0.7666487958288573,0.5289912628664728
9,0.6210752688172043,0.6420631391729658,0.6313948404022737,0.408983451536643,8.0,0.7993518964405976,0.6210752688172043,0.6420631391729658,0.6313948404022737,0.408983451536643,8.0,0.7993518964405976,0.810752688172043,0.6773266259432267,0.7567272727272727,0.7380579483163665,0.28283464566929134,0.7610928370674446,0.7639590212513758,0.5216130233205819
10,0.6128205128205129,0.6482820976491862,0.6300527240773287,0.4022549554464448,3.0,0.7845952668225941,0.6128205128205129,0.6482820976491862,0.6300527240773287,0.4022549554464448,3.0,0.7845952668225941,0.8098290598290598,0.6814095649047105,0.758,0.7400898262058192,0.28037974683544303,0.762064343163539,0.7647246564968084,0.5235651860970286
11,0.5993194385367928,0.6251109139307897,0.6119435396308359,0.4098927077650482,4.0,0.7969704848068869,0.5993194385367928,0.6251109139307897,0.6119435396308359,0.4098927077650482,4.0,0.7969704848068869,0.8383666524883029,0.6697247706422018,0.7541818181818182,0.7446165470343785,0.30866941886313115,0.7577819876119732,0.7648486168125859,0.5253876436894945
12,0.653713298791019,0.6554112554112554,0.6545611759619542,0.42007637752318605,5.0,0.8206634531321888,0.653713298791019,0.6554112554112554,0.6545611759619542,0.42007637752318605,5.0,0.8206634531321888,0.8510362694300518,0.6834257975034674,0.7712727272727272,0.7580769230769231,0.2867462311557789,0.7760770851213233,0.7821450191371364,0.5578811567219489
